NonLaborIncome,Wage,HoursWorked
43.708610696262625,2.9973709382033404,30
95.56428757689245,1.3041618875713872,30
75.87945476302646,3.350497418850147,10
63.8792635777333,3.803121435379569,20
24.041677639819287,3.698342500202428,20
24.039506830258237,4.925517765037025,40
15.22752509513795,4.300181301722258,30
87.95585311974416,3.4992513428620167,20
64.1003510568888,2.6153785778889738,10
73.72653200164409,1.090320278499475,0
11.85260448662222,3.442816961786932,20
97.29188669457949,3.0472155156428142,10
84.91983767203796,3.1561987000421605,30
29.110519961044854,1.3468766014203148,40
26.364247048639054,1.499930693602112,40
26.506405886809045,4.851238675411031,40
37.381801866358394,2.65978333210144,20
57.228078846901404,3.954386161776715,20
48.87505167779042,2.7609507826421105,20
36.21062261782377,2.763134922743116,30
65.06676052501415,4.554228277909714,40
22.554447458683764,2.046590830863535,20
36.29301836816963,2.8658541183274058,10
42.97256589643225,2.108018888888424,0
51.046298579533236,2.1404735185600012,10
80.66583652537122,2.2932163048020535,20
27.970640394252378,3.071523137010767,20
56.28109945722505,2.0890057980498127,0
63.31731119758382,5.423090571399244,20
14.180537144799795,1.661907408148372,20
64.67903667112945,2.452776371251033,30
25.34717113185624,2.134319622592169,40
15.854643368675156,6.0245201701402475,20
95.39969835279999,3.0286141149472066,20
96.90688297671034,4.794716088650917,20
82.7557613304815,1.2007445165077133,0
37.415239225603365,3.1483472928939733,10
18.790490260574547,4.43397706031149,30
71.58097238609412,2.844127078903489,20
49.61372443656412,4.884242496803014,20
20.983441136030095,2.045191345184082,40
54.56592191001432,5.901113678118493,20
13.094966900369656,9.62528959959281,30
91.83883618709038,2.2265176917915697,30
33.290198344001524,2.127555383299159,40
69.62700559185838,6.045785770178985,20
38.053996848046985,6.480286226545587,40
56.80612190600297,2.0389337202694984,0
59.203925140895166,2.157385885554579,20
26.636900997297435,2.3280208013724617,20
97.26261649881027,1.297646473795066,10
79.76195410250031,1.6400741093344364,30
94.55490474077702,1.5647445413223284,0
90.5344615384884,1.7819554686332257,0
63.810998092997664,2.6669175022645963,20
92.96868115208052,3.0919999139493646,10
17.964325184672756,6.3774942603413125,40
27.638457617723066,1.5697325862030296,30
14.070456001948425,4.671019326966467,40
39.27972976869379,2.4164659840701934,20
44.98095607205338,2.6453277209384507,20
34.42141285965063,3.939881791457543,30
84.58637582367363,1.465949108218788,0
42.10779940242303,3.3545759211792614,30
35.28410587186427,2.978883942762364,30
58.84264748424236,3.563874141686174,0
22.68318024772864,3.186881186756608,30
82.19772826786357,10.489922946436826,30
16.709557931179376,1.9140913298966746,30
98.81982429404655,2.0298292470232937,10
79.50202923669917,1.9295227845790173,10
27.884411338075516,2.0026826052894786,30
10.496990541124216,1.9144628361751683,40
83.39152856093507,5.22763560200313,20
73.61716094628554,5.937435679610751,20
75.61064512368885,1.9859344090933546,10
79.41433120173512,1.719793859977587,0
16.664018656068134,3.5228790104676095,20
42.261915568984534,2.006270098210156,10
20.428215357261674,3.850151506124452,40
87.67930832880342,3.039240538873389,0
66.0968314144802,1.1809754349078505,10
39.78082223673843,6.366996559889473,40
15.720251525742126,7.298966189161782,20
37.9884089544096,1.9405398745930034,20
39.266498982407235,2.1962780715839987,30
75.66455605042577,3.181096551596174,30
67.38017242196918,3.2672584360433845,20
89.84914683186939,3.9047718245457714,0
52.49934326457544,8.212131369768148,10
20.763482134447152,2.4662012834699527,30
74.19203085006956,1.7523128001980506,0
78.47065437552077,1.2729975876885964,10
60.51494778125466,1.8184572522719744,10
79.38704619591049,2.6692036377806807,30
